title,abstract,year,venue,journal,authors,doi,url,referenceCount,citationCount,influentialCitationCount,fieldsOfStudy,s2FieldsOfStudy,isOpenAccess,openAccessPdf,publicationTypes,publicationDate,on_learning,on_rural,benchmark_comparison,distributional_effects,evidence_strength,mechanism_success,policy_implication,long_term_effects,narrative_tone
Does Providing Free Trial Packs With Demonstration Plots Increase the Adoption of Agricultural Technologies? Cost Effectiveness Evidence From Tanzania,"This study evaluates the effectiveness of the common practice of providing free trial packs alongside demonstration plots managed by local extension agents to promote learning‐by‐doing and increase technology adoption among bean farmers in Tanzania. The experiment randomly assigned some villages to forgo trial packs containing seeds and a seed treatment for 1 year. Adoption data were collected 1 and 4 years after the intervention. Our findings show that trial packs raised program costs by 37.5 times, but did not lead to a significant or cost‐justified increase in adoption. The adoption of improved bean varieties increased from 11% pre‐intervention to 28% 4 years post‐intervention, with no significant difference between villages with and without trial packs. Although trial packs showed potential for specific groups—such as female, more educated farmers, households in farmer groups, and those living closer to demonstration plots or in smaller villages—their overall impact was limited. These results suggest that demonstration plots, a lower‐cost intervention, are more cost‐effective. Trial packs may still hold value when targeted, but their widespread use does not justify the additional costs. This study offers key insights for policymakers and development practitioners seeking to implement scalable, efficient agricultural interventions.",2025.0,Agricultural Economics,Agricultural Economics,"M. Maredia, Jarrad Farris, Nicole M. Mason, Stephen Morgan",10.1111/agec.70033,https://www.semanticscholar.org/paper/ac16afadf88b3da32f5cd7ff5103bc944dd7ebc5,38.0,0.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://doi.org/10.1111/agec.70033,['JournalArticle'],2025-04-09,True,True,falls short of benchmark,ambiguous,mixed evidence,risk not effectively mitigated,suggests effective intervention,sustained over time,pessimistic
Contaminated water spillovers or peer effects? Determinants of disease outbreaks in shrimp farming in Vietnam,"Disease outbreaks are one of the major issues in the aquaculture sector and can lead to significant economic losses. Although the source of the disease is difficult to trace, understanding how it occurs is important to mitigate the problem. A crucial factor that has not received sufficient attention is the presence of spillovers among fish farmers connected by waterways. This study examines the presence of spillovers among shrimp farmers in Southern Vietnam based on primary data. In particular, it quantifies the effects of contaminated water spillovers from one farm to another and the peer effects of farming practices among neighbors. We solve the reflection problem by employing a method developed in social network analyses. The findings indicate that a farmer's practices are affected by their neighbors’ farming practices. Further, the disease outbreak in a farmer's pond is affected by those in their neighbors’ ponds, even after controlling for contextual peer effects and correlated effects. The negative effects of neighbors’ ponds on the probability of disease outbreaks in a farmer's pond may offset the positive effects of the farmer's good farming practices, suggesting the importance of considering neighboring farmers as a group when addressing the issue of disease control.",2024.0,Agricultural Economics,Agricultural Economics,"Aya Suzuki, Susan Olivia, Vu Hoang Nam, Guenwoo Lee",10.1111/agec.12872,https://www.semanticscholar.org/paper/084c42e57b41a75585906750f3d380cd4c7ac084,61.0,1.0,0.0,,"[{'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://doi.org/10.1111/agec.12872,['JournalArticle'],2024-12-25,True,True,matches theoretical benchmark,ambiguous,strong evidence,risk mitigated through networks,suggests effective intervention,sustained over time,pessimistic
Does the European Union Start-Up Aid Help Young Farmers to Innovate and to Join Networks?,"The endurance and vitality of European agriculture are threatened by the aging of farmers, together with the lack of generational change. The small share of young farmers also impacts on the innovative capacity and competitiveness of the sector. The Common Agricultural Policy of the European Union started addressing the issue long ago by providing financial aid to help young farmers to start up. Over time, the aid increased and packages of measures were set to reinforce the aid and to promote investments, innovations, and networks at the farm level. While the literature focuses on analyzing the effectiveness of the start-up aid in fostering new entries, this paper assumes an original perspective as it seeks to assess whether this aid has actually promoted innovations and networks in the beneficiary farms. The analysis relies on sample data collected in 2021 in Italy and Poland via interviews of 500 farmers under 40 who had entered the sector both with and without the aid. A probit model estimates whether the beneficiaries have a higher probability to innovate and network. Then, the contribution of the aid to the intensity of the adoption of innovations and networks is estimated via an Average Treatment Effect on the Treated model (ATT). Results suggest that the start-up aid increased the adoption of innovations and networks. The ATT indicates that this positive effect holds even after correcting for self-selection bias. By adopting an original perspective, our analysis suggests that the start-up aid for young farmers goes beyond rejuvenating agriculture by fostering innovation at the farm level and by promoting networking, thus enhancing agricultural change. However, farmer behaviors in the two countries are different, suggesting quite complex patterns for the impact of this measure.",2024.0,Agriculture,Agriculture,"Anna Carbone, F. Carillo, Pavel Ciaian, Roberta Sardone, Federico Antonioli, Juan Tur Cardona",10.3390/agriculture14101772,https://www.semanticscholar.org/paper/180bbfb752cc0ccb7a5a47b588c7e4fd1ef0584f,44.0,2.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://doi.org/10.3390/agriculture14101772,['JournalArticle'],2024-10-08,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests effective intervention,sustained over time,neutral
"Talking water: interplay of gender, trust and expertise in agricultural extension groups in Mendoza, Argentina","
 Stakeholder adaptation is a critical strategy to overcome changing climate patterns worldwide. Still it relies on the speed and effectiveness of information flow to end-users. Research shows that the loss of information in several stages of its spread and learning from peers is more important than the knowledge circulated by extension services. Women’s participation and contribution are supportive and strategic, depending on the level of agreement and the interplay of trust variables within the network. In the arid Andes, agriculture is central and dependent on water management and macroeconomic conditions that shape market prospects, irrigation practices, and stakeholder behavior. Data were collected using the platform of a capacity-building program for organisations of water users in the Diamante and Atuel River basins in Mendoza, Argentina. Social Network Analysis (SNA) contributes to unveiling the cornerstones of information flow by identifying group structures, strong bonds, and bottlenecks in water management systems. In the first step, we evaluated the characteristics (density, centrality, average shortest path, and degree) of the pre-existing relationships and five sub-topic networks. Second, we compare networks containing pre-existing links only with those formed during the lecture. Emphasizing adaptation practices to cope with climate change impacts, the results provide valuable insights into the intricate interplay of gender dynamics, trust, expertise recognition, and discussion patterns within water and agricultural extension groups in Argentina. These insights highlight the ongoing need to promote gender equity, address biases in expertise recognition, and leverage trust for meaningful knowledge exchanges within evolving social contexts. It also reveals the alignment of Argentina's gender performance with similar production setups in Southern America or the Global North, highlighting the universality of challenges and opportunities in fostering inclusive and equitable participation. Our findings indicate that each group within the two river basins exhibits numerous pre-existing links and tends to be less accessible to newcomers, resulting in a shorter average path. Thus, information can spread faster. Trust is an underlying facilitator for sensible topics and a catalyzer for communication.",2024.0,Environmental Research: Climate,Environmental Research: Climate,"F. S. Riera, C. Hunecke, Alejandro Juan Gennari",10.1088/2752-5295/ad557e,https://www.semanticscholar.org/paper/6e49dea62eacedad7b1d5543242a51f545a07a4e,53.0,0.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",True,https://iopscience.iop.org/article/10.1088/2752-5295/ad557e/pdf,['JournalArticle'],2024-06-07,True,True,matches theoretical benchmark,ambiguous,strong evidence,risk mitigated through networks,suggests effective intervention,sustained over time,optimistic
Impact of social networks on fertilizer use efficiency in China: Evidence from kiwifruit production in Shaanxi province,"Improving fertilizer use efficiency (FUE) is an effective way to reduce the fertilizer use and non-point source pollution in agriculture production in China. Existing research related to fertilizer use efficiency ignores the impact of famers’ social networks, which can significantly affect the fertilizer use and its efficiency. This paper analyzed the impact of social networks on fertilizer use efficiency and the mediator effect of green fertilization technology adoption, based on the calculation of fertilizer use efficiency of 569 kiwifruit farmers in Shaanxi province of China surveyed in 2021 by using stochastic frontier method. The results show that the FUE of kiwifruit production ranged within 0.1027–0.9945, with an average value of 0.333, which showed great variability, and fertilizer input had an average 66.7% reduction potential without reducing output. Social networks and its four dimensions all had a significant positive impact on FUE, in which network trust and network learning had a greater impact on FUE. Farmers’ adoption of green fertilization technology played a positive mediator effect in the process of social networks influencing their fertilizer use efficiency, which was mainly promoted by network trust and learning. Farmers’ experience in agricultural production, joining the cooperative, the quantity of village agricultural supply points had a significant positive impact on fertilizer use efficiency, while age and gentle of the head of household had a significant negative impact of fertilizer use efficiency. Planting scale had a U-shape impact on FUE. Policies aimed at improving FUE and reducing non-point source pollution should, therefore, focus on improving the social networks of farmers, especially young farmers, strengthening network trust, promoting network learning, network reciprocity and network interaction, strengthening the research and development and extension of green fertilization technology, encouraging farmers to join agricultural cooperative, improving village production conditions, guiding sustainable agricultural production.",2023.0,Environmental science and pollution research international,Environmental Science and Pollution Research,"Fangyuan Chang, Li Liu, Yu Wang, Jundi Liu, Xiuguang Bai",10.1007/s11356-023-29508-3,https://www.semanticscholar.org/paper/603eceabbd1e4c76b9f9d634fca864f5e77555b9,69.0,9.0,0.0,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://www.researchsquare.com/article/rs-2710431/latest.pdf,"['JournalArticle', 'Review']",2023-09-01,True,True,matches theoretical benchmark,ambiguous,strong evidence,risk mitigated through networks,suggests effective intervention,sustained over time,optimistic
"Household and plot-level survey data on adoption, outcomes, and perceptions of early sown wheat and zero tillage in Northwest India","This study collected evidence on the use of early sown wheat varieties and complementary zero tillage technologies in Northwest India. Detailed information on farmers’ knowledge, adoption decisions, personal experience, and perceptions of early sown wheat and zero tillage technologies were collected at the household level using different survey tools. Additional information on agricultural practices during the Rabi Season 2021/22 were collected at the plot level and geocoded. Overall, the dataset comprises responses from 1206 wheat farmers in 70 villages across 7 districts in Punjab and Haryana that were collected between September and October 2022. The villages were selected using stratified random sampling based on a sampling frame of 1722 communities that had been identified as predominantly wheat growing areas based on remote-sensing data from satellite images. The dataset provides rich information that may be used for assessing the diffusion and impact of recently developed wheat varieties designed for early sowing, identifying barriers to the wider adoption of these technologies, and informing policy making aimed at improving adoption and usage decisions of agricultural innovations.",2023.0,Scientific Data,Scientific Data,"Dominik Naeher, Basma H. Albanna, Abhijeet Kumar, Sandra Jeanne Vollmer",10.1038/s41597-023-02401-x,https://www.semanticscholar.org/paper/b4f286a9429b81bb0a03d991551e551e497cf8ed,30.0,2.0,0.0,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://www.nature.com/articles/s41597-023-02401-x.pdf,"['JournalArticle', 'Review']",2023-08-04,True,True,matches theoretical benchmark,ambiguous,strong evidence,risk mitigated through networks,suggests effective intervention,sustained over time,optimistic
Pathways from information to the adoption of conservation agriculture practices in Malawi and Tanzania,"Abstract To reduce agriculture's carbon, land and water footprint, the diffusion of conservation farming methods is one commonly cited proposition. Yet the process of translating available information on new conservation farming methods into farmers' practices is often a black box in many studies. This understanding is critical to inform strategies for scaling these complex, knowledge-intensive, but necessary practices for improving agriculture's resource and climate balance sheet. By implementing a series of mediation analysis using data from 700 households in Malawi and 930 households in Tanzania, this study examines how an improved understanding of conservation agriculture (CA) principles is an important mediator in the pathway from extension contact to the adoption of two of the CA practices examined. For the adoption of conservation tillage, the share of the mediated treatment effect was in the 31.5–34.4% range, while it was 31.6–46.9% for the adoption of soil cover (mulching). Our results suggest that unless learning from external sources strongly correlates with improved farmers' technical understanding of new farming practices, private learning by doing must be a critical adjunct to other avenues of learning. Beyond the basic promotional goals, improving farmers' technical know-how needs to be the centerpiece of holistic efforts in support of conservation farming and similar knowledge-intensive practices necessary for agriculture's sustinability goals.",2023.0,Renewable Agriculture and Food Systems,Renewable Agriculture and Food Systems,"P. Marenya, Josephine G Gatua, D. Rahut",10.1017/S1742170523000194,https://www.semanticscholar.org/paper/919ccf6864b82daf736757688effa5ba63e07e85,22.0,1.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",True,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/DFD18AD2975289FD7DD4B6C927416816/S1742170523000194a.pdf/div-class-title-pathways-from-information-to-the-adoption-of-conservation-agriculture-practices-in-malawi-and-tanzania-div.pdf,['JournalArticle'],2023-07-10,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests effective intervention,sustained over time,neutral
"The adoption of conservation practices in the Corn Belt: the role of one formal farmer network, Practical Farmers of Iowa","Substantial evidence has shown that involvement in peer-to-peer farming networks influences whether a farmer decides to try a new practice. Formally organized farmer networks are emerging as a unique entity that blend the benefits of decentralized exchange of farmer knowledge within the structure of an organization providing a variety of sources of information and forms of engagement. We define formal farmer networks as farmer networks with a distinct membership and organizational structure, leadership that includes farmers, and an emphasis on peer-to-peer learning. This study complements existing ethnographic research on the benefits of organized farmer networking by examining farmers in one longstanding formal farmer network, Practical Farmers of Iowa. Using a nested, mixed-method research design, we analyzed survey and interview data to understand how participation and forms of engagement in the network are associated with the adoption of conservation practices. Responses from 677 farmers from a regular member survey disseminated by Practical Farmers of Iowa in 2013, 2017, and 2020 were pooled and analyzed. GLM binomial and ordered logistic regression results indicate that greater participation in the network, particularly through in-person formats, has a strong and significant association with greater adoption of conservation practices. Logistic regression results show that building relationships in the network is the most important variable for predicting whether a farmer reported adopting conservation practices as a result of participation in PFI. In-depth interviews with 26 surveyed member farmers revealed that PFI supports farmers to adopt by providing information, resources, encouragement, confidence building, and reinforcement. In-person learning formats were more important to farmers relative to independent formats because they were able to have side conversations with other farmers, ask questions, and observe results. We conclude that formal networks are a promising way to expand the use of conservation practices, particularly through targeted efforts to increase relationship building in the network through face-to-face learning opportunities.",2023.0,Agriculture and Human Values,Agriculture and Human Values,"L. Asprooth, M. Norton, R. Galt",10.1007/s10460-023-10451-5,https://www.semanticscholar.org/paper/0c0e036480f9773262fd072b9daf1996a57d17fb,99.0,20.0,0.0,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",True,https://link.springer.com/content/pdf/10.1007/s10460-023-10451-5.pdf,"['JournalArticle', 'Review']",2023-05-03,True,True,matches theoretical benchmark,benefits richest,strong evidence,risk mitigated through networks,suggests effective intervention,sustained over time,optimistic
Theoretical framework and methods for the analysis of the adoption-diffusion of innovations in agriculture: a bibliometric review,"The adoption and diffusion of innovations are essential for both the development of production processes and the improvement of agricultural environmental sustainability, at any stage of the value chain. In recent years, social scientists have studied the diffusion and adoption of agricultural innovations from different approaches, such as innovation diffusion theory, behavioral models, econometric models, social capital and social network analysis, among others. In this study we analyze the scientific literature through a bibliometric analysis based on co-citation networks, to explore the theoretical pillars and bibliographic coupling, with which we explore the current methodological research trends of the last 50 years. The conclusions drawn from this analysis are that in recent years agricultural researchers on adoption and diffusion have designed multivariate methods that combine diverse study approaches. This review contributes to a better understanding of theory and practice in the study of the adoption and diffusion of agricultural innovations.",2023.0,Boletín de la Asociación de Geógrafos Españoles,Boletín de la Asociación de Geógrafos Españoles,"Rafael Mesa Manzano, Javier Esparcia Pérez",10.21138/bage.3336,https://www.semanticscholar.org/paper/575c5132292e749bd3cc2c388f328ed0c7f8aeea,201.0,4.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://bage.age-geografia.es/ojs/index.php/bage/article/download/3336/1111113019,['Review'],2023-02-28,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests partial intervention,sustained over time,neutral
"The Effect of Social Network on Controlled-Release Fertilizer Use: Evidence from Rice Large-Scale Farmers in Jiangsu Province, China","The reduction and efficiency of fertilizer use has been a recent focus of governments and scholars. As a new agricultural technology, controlled-release fertilizer can not only increase yield and save labor, but also improve efficiency and reduce the use of fertilizer, thus promoting sustainable agricultural development. Drawing on a sample of 231 farmers of Jiangsu Province, China, this paper applies a probit model to assess the adoption behavior of controlled-release fertilizer by large-scale households in terms of three dimensions of social network, i.e., communication intensity, trust level, and network size, specifically exploring how science popularization influences their adoption intention, and comparing the heterogeneity of impact that social network has on the adoption intention of farmers when the information is obtained adequately or not. The empirical results demonstrate that: (1) At the early stage of technology diffusion, the size of social network has a positive effect on farmers’ cognition of controlled-release fertilizer, and the communication intensity with neighboring farmers has a positive effect on the adoption behavior of controlled-release fertilizer; (2) Farmers’ adoption intention of controlled-release fertilizer is significantly influenced by their original knowledge of new technology and science popularization; (3) When the information is sufficient, the social network of large-scale households has no significant effect on their willingness to adopt. Therefore, in promoting controlled-release fertilizer, the government should highlight the synergistic effect of farmers’ cognition and science popularization activities, fully consider the characteristics of farmers’ social network, facilitate the infrastructure of rural informatization, and regulate the agricultural promotion networks so that farmers can obtain sufficient and effective information.",2023.0,Sustainability,Sustainability,"Ruoxi Ma, Shangguang Yang",10.3390/su15042982,https://www.semanticscholar.org/paper/c7f1fadf63a1961bba62ee1b040babce3a768161,54.0,5.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",True,https://www.mdpi.com/2071-1050/15/4/2982/pdf?version=1675759381,,2023-02-07,True,True,matches theoretical benchmark,ambiguous,strong evidence,risk mitigated through institutions,suggests effective intervention,sustained over time,optimistic
