title,abstract,year,venue,journal,authors,doi,url,referenceCount,citationCount,influentialCitationCount,fieldsOfStudy,s2FieldsOfStudy,isOpenAccess,openAccessPdf,publicationTypes,publicationDate
Does Providing Free Trial Packs With Demonstration Plots Increase the Adoption of Agricultural Technologies? Cost Effectiveness Evidence From Tanzania,"This study evaluates the effectiveness of the common practice of providing free trial packs alongside demonstration plots managed by local extension agents to promote learning‐by‐doing and increase technology adoption among bean farmers in Tanzania. The experiment randomly assigned some villages to forgo trial packs containing seeds and a seed treatment for 1 year. Adoption data were collected 1 and 4 years after the intervention. Our findings show that trial packs raised program costs by 37.5 times, but did not lead to a significant or cost‐justified increase in adoption. The adoption of improved bean varieties increased from 11% pre‐intervention to 28% 4 years post‐intervention, with no significant difference between villages with and without trial packs. Although trial packs showed potential for specific groups—such as female, more educated farmers, households in farmer groups, and those living closer to demonstration plots or in smaller villages—their overall impact was limited. These results suggest that demonstration plots, a lower‐cost intervention, are more cost‐effective. Trial packs may still hold value when targeted, but their widespread use does not justify the additional costs. This study offers key insights for policymakers and development practitioners seeking to implement scalable, efficient agricultural interventions.",2025.0,Agricultural Economics,Agricultural Economics,"M. Maredia, Jarrad Farris, Nicole M. Mason, Stephen Morgan",10.1111/agec.70033,https://www.semanticscholar.org/paper/ac16afadf88b3da32f5cd7ff5103bc944dd7ebc5,38.0,0.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://doi.org/10.1111/agec.70033,['JournalArticle'],2025-04-09
"Rainfall forecasts, learning subsidies and conservation agriculture adoption: Experimental evidence from Zambia",,2025.0,Climate Services,Climate Services,"Hambulo Ngoma, Esau Simutowe, João Vasco Silva, I. Nyagumbo, Kelvin Kalala, Mukwemba Habeenzu, Christian Thierfelder",10.1016/j.cliser.2025.100547,https://www.semanticscholar.org/paper/5447e6743b0dddb8279d0883e111e3b90fc38527,52.0,0.0,0.0,,"[{'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2025-04-01
Incentives and endorsement for technology adoption: Evidence from mobile banking in Ghana,,2025.0,Journal of Development Economics,Journal of Development Economics,"Emma Riley, A. Shonchoy, R. Osei",10.1016/j.jdeveco.2025.103511,https://www.semanticscholar.org/paper/a1e19e8317c49709ad1f13c93447e10667210c08,37.0,0.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Business', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2025-04-01
Transforming Apple Farming: A Hybrid Modelling Approach to Understanding High-Density Apple Plantation Adoption in India,,2025.0,Journal of Information Systems Engineering & Management,Journal of Information Systems Engineering and Management,"Dr. Javid Majeed Pandith, Dr. Obaidul Ola, Quazi Shams Aaghaz, Dr Farah Tazeen",10.52783/jisem.v10i26s.4238,https://www.semanticscholar.org/paper/b910d89581cb30fcd0e2724e37ee85f851ff902b,51.0,0.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2025-03-28
"Miracle seeds: Biased expectations, complementary input use, and the dynamics of smallholder technology adoption.",,2025.0,Economic development and cultural change,Economic Development and Cultural Change,"Caroline Miehe, Leocardia Nabwire, Robert Sparrow, David Spielman, Bjorn Van Campenhout",10.1086/735822,https://www.semanticscholar.org/paper/66f8a8b3a6d94b94fffd85a3785b814f41d8ab78,39.0,0.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2025-03-19
Are less polluting and synergistic farming technologies complementary?,"
 The objective of our paper is to provide an explanation for the lack of joint adoption by farmers of cleaner technologies in banana production, specifically fallow period (FP) and disease-free seedlings (DFS). Our hypothesis is that while these technologies are synergistic from an agronomic and environmental perspective, and thus efficient from a social interest perspective, they are substitutable rather than complementary from a farmer’s private interest perspective. In other words, farmers receive lower returns from adopting both technologies together than from adopting them in isolation. To test this hypothesis, we present a unified empirical framework for assessing complementarity. We estimate a structural model of complementarity that overcomes the unobservable heterogeneity bias found in previous models using a database of 607 banana farmers in the French West Indies. Our results support our hypothesis, showing a substitution effect between FP and DFS rather than a complementarity effect. Moreover, we observe a contrasting profile of adopting farmers: smallholders who are reluctant to change adopt FP, while more specialized farmers who anticipate a pesticide ban adopt DFS. A public policy that promotes joint adoption should compensate smallholders for the cost of the DFS technology, while compensating more productive farmers for leaving their land fallow.",2025.0,Agricultural and Resource Economics Review,Agricultural and Resource Economics Review,"J. Blazy, M’hand Fares, Alban Thomas",10.1017/age.2025.9,https://www.semanticscholar.org/paper/33e06bcc7988ae1c26ae2d44d078fa0b8c11481b,44.0,0.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",True,https://doi.org/10.1017/age.2025.9,['JournalArticle'],2025-03-19
The Role of Cooperatives in Promoting Climate‐Smart Agriculture: Panel Evidence From Ethiopia,"Climate change threatens the livelihood of millions of smallholder farmers in Sub‐Saharan Africa and elsewhere. This paper investigates whether cooperatives could promote climate‐smart agriculture among their members and, through spillover effects on nonmembers in their villages, among their communities at large. For this purpose, we use panel data collected among smallholder farm households in Ethiopia. We find that (i) cooperative membership is positively associated with the number of adaptation practices adopted by farm households; (ii) this association increases with the number of cooperatives of which farm households are members; and (iii) nonmembers in villages with cooperatives adopt more adaptation practices than farm households in villages without cooperatives, although results are statistically significant only for certain types of cooperatives. These results suggest that considering different levels at which climate change adaptation occurs merits greater attention among researchers and policymakers. For example, enhancing the institutional capacity of and creating partnerships with cooperatives could facilitate the implementation of climate change adaptation policies and strategies, including at the farm level.",2025.0,Agricultural Economics,Agricultural Economics,"G. Kahsay, Y. Endalew",10.1111/agec.70011,https://www.semanticscholar.org/paper/c6f7956075096dceb0c6178284dca903c49a6fbe,78.0,1.0,0.0,,"[{'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",True,https://doi.org/10.1111/agec.70011,['JournalArticle'],2025-03-12
Neighbors matter for risk tolerance,,2025.0,European Journal of Finance,The European Journal of Finance,"Jérémie Bertrand, M. Broihanne, Hava Orkut, Laurent Weill",10.1080/1351847x.2025.2473368,https://www.semanticscholar.org/paper/ac45632c9fddccd380d8e57d861be7a9c7163696,55.0,0.0,0.0,,"[{'category': 'Business', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2025-03-10
Peer learning and technology adoption in a digital farmer-to-farmer network,,2025.0,Journal of Development Economics,Journal of Development Economics,"Violet Lasdun, Aurélie P. Harou, Christopher Magomba, Davíd Guereña",10.1016/j.jdeveco.2025.103496,https://www.semanticscholar.org/paper/3a68eed5d6ad9b862c9338b4426b41c8107cccdf,94.0,0.0,0.0,,"[{'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2025-03-01
"How Hiring Agricultural Managers Affect Farmland Quality Protection Behavior in Farmers’ Cooperatives—Evidence Based on the Survey of Cooperatives in Sichuan, China","This paper aims to include the human capital elements of agricultural managers in the decision-making process of farmland quality protection behavior in farmers’ cooperatives in an effort to discuss and explore the relationship between hiring agricultural managers and the implementation of farmland quality protection behavior. Based on the survey questionnaire of 436 planting cooperatives in Sichuan, China, in 2021, the Poisson model and mediating effect model were used to explore the impact and mechanism of hiring agricultural managers on farmland quality protection behavior in farmers’ cooperatives. The empirical results reveal that hiring agricultural managers significantly elevates farmland quality protection behavior in farmers’ cooperatives. Compared to cross-period farmland quality protection behavior, hiring agricultural managers has a greater impact on single-period farmland quality protection behavior. Through the improvement of information technology application level, the farmland quality protection behavior in cooperatives can be elevated by hiring agricultural managers, but standardized management has a masking effect between the two. Accordingly, continuous development and growth of the agricultural manager team encourages cooperatives to establish a standardized system for recruiting farm managers and strengthen the link between farm managers and cooperatives. The training of agricultural managers should be optimized to deepen their mastery of techniques and knowledge and protect the quality of arable land. Material and moral incentives should be provided to encourage farm managers to focus on the long-term development of their cooperatives. The government should be encouraged to establish a platform for sharing information on farmland quality to provide technical support to farm managers to carry out targeted work on farmland quality protection.",2025.0,Land,Land,"Guo-Yan Zeng, Jie-Hao Deng, She-Mei Zhang",10.3390/land14030502,https://www.semanticscholar.org/paper/aa53f0e7513fe184b6e21e39d4db22d4b7b27662,35.0,0.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://doi.org/10.3390/land14030502,"['JournalArticle', 'Review']",2025-02-28
