title,abstract,year,venue,journal,authors,doi,url,referenceCount,citationCount,influentialCitationCount,fieldsOfStudy,s2FieldsOfStudy,isOpenAccess,openAccessPdf,publicationTypes,publicationDate,on_risk,on_rural
Social network structure and the radius of risk sharing,"
 Informal risk sharing, an important coping strategy, is mediated by social networks. Does risk sharing extend beyond immediate connections? If so, what is its radius? I examine the radius of risk sharing as a function of network structure. To do so, I employ community detection—a tool imported from network science—and dyadic regression. I find evidence the radius of risk sharing extends beyond direct connections. Using data from a behavioral experiment in Colombia, I find that detected community co-membership and distance-2 connections (i.e., friends of friends) explain co-membership in experimental risk sharing groups. Using data from a village census in Tanzania, I find that distance-2 and 3 connections explain risk sharing transfers, but detected community co-membership does not. I address a crucial issue of network sampling in the Colombia illustration using simulation methods, finding my preferred specification is robust to this concern. These methods may benefit those who seek to understand the quality of risk sharing when risk sharing groups are loosely defined and illegible to outsiders.",2025.0,Social Network Analysis and Mining,Social Network Analysis and Mining,Daniel S. Putman,10.1007/s13278-025-01453-8,https://www.semanticscholar.org/paper/7d51ed8f8f51a785335c3560f40dabfca986d9bb,49.0,0.0,0.0,,"[{'category': 'Sociology', 'source': 's2-fos-model'}]",True,https://doi.org/10.1007/s13278-025-01453-8,['JournalArticle'],2025-05-02,True,True
The poverty prevention effects of health insurance: evidence from China's basic medical insurance program,"Background China's Basic Medical Insurance (BMI) system is designed to alleviate illness-induced poverty. This study aims to evaluate the effectiveness of BMI in pre-venting households from falling into poverty, uncover its underlying mechanisms, and propose a preferential subsidy policy to address existing inequities. Methods Panel data from the 2010–2018 China Family Panel Studies (CFPS) were used. We employed Probit and Heckman models to assess how BMI enrollment influences poverty likelihood, focusing on rural–urban differences, total healthcare expenditures, and out-of-pocket (OOP) spending. We also proposed a tiered, progressively subsidized policy—“income segmentation with progressive reimbursement”—as a potential strategy to bolster poverty prevention among low-income households. Results Our findings indicate that BMI enrollment significantly reduces the probability of house-holds becoming poor, with more pronounced effects in rural areas than in urban ones. Following enrollment, total healthcare expenditures rise substantially and health outcomes improve, yet OOP expenses do not show a corresponding decline and can even increase for urban residents. Moreover, higher-income groups benefit more from BMI, whereas low-income families face financial constraints that limit their ability to fully utilize these benefits. Conclusions Despite BMI's success in improving health out-comes, moral hazard remains a concern, particularly in urban settings. A tiered, progressively subsidized approach can more effectively support low-income households, lowering their risk of falling back into poverty due to illness. These results underscore the importance of refining insurance policies to ensure that vulnerable populations can fully benefit from healthcare coverage.",2025.0,Frontiers in Public Health,Frontiers in Public Health,"Xinyue Yuan, Xujin Yang, Xianhua Zhou",10.3389/fpubh.2025.1576146,https://www.semanticscholar.org/paper/c43f900ef7c6c72ddadea04f3bd4b1ae58da9431,34.0,0.0,0.0,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2025-04-24,True,True
Analysis of the role of medical insurance in the “Health shocks-consumption upgrading” model: evidence from China,"Background The COVID-19 pandemic has brought significant health shocks worldwide, along with a certain burden on healthcare systems. China's healthcare security system has been continuously improved and has essentially achieved universal coverage. Moreover, the health impact of COVID-19 on the Chinese population is diminishing, and the trend of consumption upgrading is becoming more pronounced. Methods Based on the Ramsey-Cass-Koopmans model, this study constructs a theoretical model of “health shocks-consumption upgrading” to deduce the impact of health shocks on consumption upgrading. We examine the results of the theoretical model using provincial panel data from China spanning from 2002 to 2019 and employing the system GMM estimation method. Furthermore, based on a moderation effect model, we explore the mechanism of basic medical insurance systems in this model. Results The theoretical model deduces that health shocks lead to a decline in consumption upgrading, which is empirically confirmed. Additionally, the results of moderation effect analysis demonstrate that basic medical insurance systems play a positive moderating role in the “health shocks-consumption upgrading” model. Among the basic medical insurance systems, the New Rural Cooperative Medical Scheme (NRCMS) primarily acts as a positive moderator. Conclusion Health shocks lead to consumption downgrading, while basic medical insurance systems help to diversify medical risks, alleviate health shocks, reduce precautionary savings, and thereby promote consumption upgrading.",2025.0,Health Economics Review,Health Economics Review,"Qi Hu, Ennan Wang, Minglai Zhu",10.1186/s13561-025-00635-6,https://www.semanticscholar.org/paper/59bc24339637449b4c71f6ab564ac6a337156709,44.0,0.0,0.0,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2025-04-24,True,True
Network Size and Temporary Migration,"In this study, we explore the impact of network size on temporary migration, using data from the Indian Human Development Survey 2011–12. Network size indicates the availability of informal risk‐sharing for rural households, with temporary migration acting as another self‐insurance method. We demonstrate that the effect of network size on migration is contingent upon the network's endowment, particularly emphasizing the role of credit constraints in low‐endowed networks. The findings reveal that larger network sizes reduce temporary migration in high‐endowed upper‐caste networks but increase in less‐endowed lower‐caste networks. This association is supported using historical caste population data from the 1961 census and regions dominated by non‐migrants. We further ascertain that enhanced network size alleviates credit constraints in lower‐endowed networks, driven by the network's income and influenced by exogenous rainfall shocks.",2025.0,Review of Development Economics,Review of Development Economics,"Vikram Bahure, Pritam Saha",10.1111/rode.13233,https://www.semanticscholar.org/paper/5023b975d849b5639f402c32034af55c6c3432a4,16.0,0.0,0.0,,"[{'category': 'Sociology', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,"['JournalArticle', 'Review']",2025-04-14,True,True
Health shock and indebtedness: Does having access to health insurance reduce the reliance on borrowing as a shock coping strategy?,"Households in developing countries are often impaired in their economic opportunities by major health shocks. In this article, we first investigate the impact of a health shock on rural household consumption and explore the mechanisms how the health shock brings a household into indebtedness. We then examine the role of health insurance in reducing the reliance on borrowing as a shock coping strategy. Our estimations show that while rural households are able to insure non‐health‐related consumption, a health shock pushes them into severe indebtedness by increasing informal borrowing to smooth consumption. Promotion of health insurance is recommended as it helps to protect households from falling into severe indebtedness when a health shock strikes.",2025.0,Applied Economic Perspectives and Policy,Applied Economic Perspectives and Policy,"Linh D. Nguyen, Thanh T. Nguyen, Tung T. Nguyen, Ulrike Grote",10.1002/aepp.13495,https://www.semanticscholar.org/paper/5409fe04ded829b040f2f086ac861949af72e014,80.0,0.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2025-01-02,True,True
On the effectiveness of insurance mechanisms for older individuals in China,"Does consumption smoothing among older individuals over time and across households indicate the efficiency of overall insurance mechanisms against health shocks? And what is the extent of suboptimality in various market and non-market insurance arrangements? To address these questions, we utilize panel data from the China Health and Retirement Longitudinal Study (CHARLS) spanning 2011, 2013, 2015, and 2018 to evaluate the effectiveness of both institutional and informal insurance mechanisms for older individuals in China. While conventional tests generally support consumption smoothing for essential items across time and individuals in response to adverse health shocks, our findings indicate that the welfare costs associated with these shocks are not insignificant, particularly in rural areas. These results underscore the need for strengthened long-term care, pension systems, and other social safety nets, which could enhance welfare even when consumption appears resilient to shocks.",2024.0,Japanese Economic Review,The Japanese Economic Review,"Jingyi Fang, Yasuyuki Sawada",10.1007/s42973-024-00181-6,https://www.semanticscholar.org/paper/2c4f846549375d2ccf9b5bd3879c9b620e0ba214,35.0,0.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}]",True,https://doi.org/10.1007/s42973-024-00181-6,['JournalArticle'],2024-11-28,True,True
Self‐control or social control? Peer effects on temptation consumption,"This paper examines peer effects on self‐control problems. I construct a theoretical model to describe how peer networks influence consumption behaviors through social norms. Using monthly survey data conducted in 16 Thai villages from 1999 through 2004, I find that peer's temptation consumption significantly impacts individuals' temptation consumption such as alcohol, tobacco, and gambling. A one baht (around $0.025 U.S. dollars) increase in peer's temptation consumption leads to a 1.5 times increase in one's own temptation consumption. With detailed household‐level social network information defined by actual transactions, this paper identifies peer effects using a friend of a friend (excluded network) as the instrument. The panel nature of this instrument overcomes various common identification challenges, such as reflection, correlated effects, and common unobservable shocks, in the literature. My findings suggest that these peer effects are driven primarily by social norms, rather than risk sharing.",2024.0,Southern Economic Journal,Southern Economic Journal,Yating Chuang,10.1002/soej.12697,https://www.semanticscholar.org/paper/f064939da51b3a8dda6c26ccbc7d103e8e87c453,80.0,1.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,"['JournalArticle', 'Review']",2024-06-12,True,True
Does inequality impede risk management? Evidence from a lab experiment in Ghana,"Low income households in agrarian developing economies face considerable livelihood risks, which have negative impacts on welfare. A growing literature focuses on internal constraints on development, which can negatively affect saving and investment behavior. Here I propose that internal constraints may also hinder risk management. Specifically, I present a theoretical model that explores how fairness preferences may create an internal constraint on risk sharing, particularly in a context of wealth inequality, and thereby also affect demand for formal insurance. To test this theory, I utilize a lab experiment, conducted in Ghana, to investigate the impact of wealth inequality on utilization of risk‐management tools, interpersonal risk sharing and formal insurance, and explore how fairness preferences may mediate this effect. I find that inequality reduces risk sharing and increases demand for insurance. Moreover, I find suggestive evidence that fairness preferences create an internal constraint on risk sharing under inequality.",2024.0,Journal of Risk and Insurance,Journal of Risk and Insurance,Richard A. Gallenstein,10.1111/jori.12480,https://www.semanticscholar.org/paper/fdbc0e0e42d82ce3d9d54ef52bbc8a00f275c895,49.0,3.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2024-06-10,True,True
"Adverse shocks, vulnerability, and coping by rural households in Vietnam","Vulnerability to poverty derives from adverse shocks and adaptive capacity. To alleviate poverty, policy‐makers must understand sources of vulnerability, household coping strategies, and the effectiveness of current insurance. Vietnam is an important case due to the many hazards that rural households face and the inadequacy of social safety nets.This article investigates the role of adverse shocks on vulnerability, coping strategies, and recovery of households in rural Vietnam.Using a unique panel data set from Vietnam Access to Resources Household Surveys (VARHSs) during 2008–2016, I first estimate and deconstruct sources of vulnerability. To examine household behaviour when coping with adverse shocks, I use a multivariate probit model; to investigate whether coping strategies help households recover from shocks, I use a multinominal probit model. Finally, I evaluate the effectiveness of existing risk‐management mechanisms.The average rural household in Vietnam experiences a 72% decrease in utility due to shocks. Idiosyncratic shocks contribute 32% of the loss. Rural households are highly dependent on informal coping, such as reducing food consumption, withdrawing savings, taking children out of school or selling capital assets. Household savings allow the wealthiest households to recover; but for low‐income households, consumption has to be cut, which depletes human capital development and prevents recovery.Rural Vietnamese need more public support to cope with and recover from shocks. Because idiosyncratic shocks hit households hard, public support should focus on alleviating their impacts. Expanding health insurance to all rural households should be a priority.Households suffer less in areas with higher levels of economic development, so economic growth is a defence against shocks. More roads and links to towns and more irrigation would help.",2024.0,Development Policy Review,Development Policy Review,T. Vo,10.1111/dpr.12768,https://www.semanticscholar.org/paper/9ac7fb1dc0e879f0af1781be08055c7d2f68403a,41.0,0.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",False,,"['JournalArticle', 'Review']",2024-04-02,True,True
Smoothing consumption in times of illness: Household recourse mechanisms.,"We study the welfare impacts of illness shocks on rural agricultural households in the semi-arid tropical and humid eastern regions of India. These regions are characterized by rainfed agriculture, missing markets for credit and insurance, and limited access to publicly funded healthcare infrastructure. We find that illness shocks increase households' medical expenditures and reduce wage income. However, aggregate non-medical, food, and non-food consumption expenditures are insensitive to illness shocks. Disaggregating illness by the age and the gender of the household members, we observe that illness in male children leads to the largest increase in medical expenditure, and illness in prime-aged adults leads to the largest decline in per-capita wage earnings. We also find illness shocks leading to changes in household dietary diversity, higher travel expenditures, and a compensating reduction in spending on education and entertainment. Analysis of risk-coping strategies reveals that households rely on transfers from kinship networks and loans from informal sources like local moneylenders to smooth consumption. While large landowners rely on gifts from kinship networks, landless and smallholders increase borrowings from informal sources.",2024.0,Health Economics,Health economics,"Abhishek Dureja, D. Negi",10.1002/hec.4830,https://www.semanticscholar.org/paper/1e748eff60be2383d9e1aff105914ed4a17841eb,49.0,1.0,0.0,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2024-03-18,True,True
